Note,Frequency,Start Time,End Time
E3,161.36835306427795,0.66,1.27
D#3,159.27191492120727,1.51,1.76
D#3,157.85256029373173,1.81,2.33
D#3,158.99494485990462,2.69,2.87
E3,162.59051622350086,2.97,3.27
E3,160.47138224983803,3.43,3.51
F3,178.90682013159864,3.71,3.92
D3,150.3607899651749,4.1,4.42
