time,frequency,confidence
0.0,268.4052843906964,0.051664256
0.01,270.00148904528635,0.10154902
0.02,271.5658560978759,0.07524237
0.03,267.885567648991,0.082203075
0.04,271.924829909481,0.047359213
0.05,292.8285794381181,0.2548951
0.06,307.90452262167815,0.3155368
0.07,314.8375257844519,0.25551394
0.08,330.14139821162166,0.18537892
0.09,320.8212449397317,0.5849958
0.1,323.93090033330003,0.7971365
0.11,324.89741235285857,0.6972069
0.12,329.6796570882692,0.65548635
0.13,327.22471142224316,0.28661907
0.14,328.4255551122028,0.24048138
0.15,301.4868912525273,0.32503596
0.16,271.058223322292,0.26220393
0.17,252.04239215292446,0.17316514
0.18,244.56636488709546,0.13222621
0.19,241.10876944096543,0.2430968
0.2,221.8276914119839,0.37414736
0.21,191.7935613769781,0.17889844
0.22,172.83101258570593,0.070574835
0.23,152.41077438636506,0.15478158
0.24,137.02543505499398,0.39174274
0.25,131.18993377479467,0.29284802
0.26,128.07804246271883,0.20496571
0.27,127.58616031686161,0.21167558
0.28,127.69996489981426,0.30394727
0.29,129.94548745142,0.26359642
0.3,128.56136092843477,0.18323109
0.31,125.65322654931917,0.2383101
0.32,123.93464918358802,0.21354133
0.33,126.29222740770462,0.21656331
0.34,127.40309605416853,0.23802584
0.35,118.9512632469799,0.19118494
0.36,118.96621696747728,0.19455382
0.37,119.86571231438054,0.1660824
0.38,121.00370312762658,0.29675975
0.39,123.61714294287238,0.20251316
0.4,125.34495609363695,0.22355965
0.41,124.5262570976965,0.390776
0.42,122.75949414956962,0.47483724
0.43,122.24823806698552,0.30218416
0.44,123.37726765978337,0.2957447
0.45,123.47043348426652,0.19658591
0.46,122.89517506989765,0.2164684
0.47,127.89519507065195,0.2211199
0.48,128.27933250543478,0.24573728
0.49,126.86670727509217,0.2197797
0.5,127.91667930467707,0.24470186
0.51,128.34710050953893,0.3815761
0.52,127.66664921157172,0.5189638
0.53,126.25460703907366,0.33986053
0.54,122.70351692424568,0.28335214
0.55,121.26975737558215,0.36003003
0.56,124.97124663897837,0.18260363
0.57,133.60438343742862,0.11620718
0.58,142.21812773408305,0.12315762
0.59,152.72247782506807,0.1265302
0.6,161.18003820728302,0.1659648
0.61,160.7511680123385,0.22745073
0.62,169.58971068742665,0.3462112
0.63,174.2287144604237,0.4810405
0.64,168.5197597775446,0.42117414
0.65,159.7845662194044,0.59657395
0.66,159.41109820704696,0.8168636
0.67,159.83148487048604,0.896042
0.68,160.13594555578553,0.8996542
0.69,161.00206980368742,0.8505143
0.7,162.3454924021392,0.8534225
0.71,163.51107645454707,0.895645
0.72,163.93479580352977,0.9153591
0.73,164.04234681297768,0.9226898
0.74,163.64340647050403,0.9248085
0.75,162.6170901860565,0.90958405
0.76,160.8554561009186,0.8632895
0.77,158.7318532339834,0.87572867
0.78,157.41895118046202,0.9183598
0.79,156.22089798201128,0.94481647
0.8,155.74060172397554,0.94533235
0.81,155.69578615812924,0.94105303
0.82,155.65860531468587,0.94249403
0.83,156.00312334086038,0.9419749
0.84,156.65664895911823,0.9341853
0.85,157.81085012530346,0.90122396
0.86,159.2857296304618,0.89375645
0.87,160.90671700203885,0.8714071
0.88,162.21446488433372,0.8571111
0.89,162.97671642324553,0.8964308
0.9,163.14060015902533,0.91123
0.91,163.16155296362822,0.9142863
0.92,162.80630712478143,0.9168135
0.93,162.11300696002834,0.903455
0.94,161.494135972809,0.910063
0.95,161.06265265763156,0.9082804
0.96,160.59896849387133,0.88421625
0.97,160.31005798488917,0.9040334
0.98,160.115407477866,0.9183932
0.99,160.11072914289474,0.9120007
1.0,160.48927306731204,0.8945876
1.01,160.962535303708,0.8879767
1.02,161.45972535094515,0.882219
1.03,162.22157886841782,0.86684597
1.04,163.15495075522637,0.89991635
1.05,164.09682568446814,0.906603
1.06,164.58897007326655,0.91047734
1.07,164.58449992046025,0.9017685
1.08,164.1624940679081,0.91062653
1.09,164.02663282550012,0.91579086
1.1,164.0912840002953,0.91326505
1.11,163.9019958816181,0.92330205
1.12,163.37677393328877,0.92234105
1.13,162.59190594635186,0.89029765
1.14,161.49886462209966,0.88330215
1.15,160.44728464714257,0.8776478
1.16,159.8417339600313,0.8963338
1.17,159.51425614865036,0.89603627
1.18,159.1019632616518,0.9065326
1.19,159.30781302318164,0.89659035
1.2,159.17628764111603,0.88374776
1.21,159.7668403405555,0.86994183
1.22,161.0097197986053,0.8234995
1.23,163.1374800944168,0.83957344
1.24,165.31217601247437,0.8817244
1.25,166.96058522921874,0.85494095
1.26,168.4175914664053,0.7711469
1.27,169.17227978838824,0.7965149
1.28,168.794982532293,0.7158117
1.29,166.6622503107992,0.54774743
1.3,160.47985519361265,0.4520831
1.31,158.14814905500998,0.22654644
1.32,159.3825282137848,0.24246137
1.33,158.22592829540613,0.15838969
1.34,158.56860248126824,0.22523403
1.35,160.65928138610187,0.17767903
1.36,163.25320624365574,0.12597346
1.37,165.85914340603432,0.2768265
1.38,169.71067761427912,0.18135716
1.39,176.02611456968026,0.3433502
1.4,172.43433564769728,0.1297449
1.41,167.32961439508526,0.10560567
1.42,161.54283111006873,0.14273424
1.43,162.5100795760888,0.26366225
1.44,149.08371435091223,0.117303416
1.45,142.23729877565876,0.36672693
1.46,144.72853931394852,0.18717544
1.47,131.8647156905585,0.06953686
1.48,142.14649956592072,0.09480723
1.49,149.32297690399176,0.46814924
1.5,153.93781348077835,0.60351837
1.51,154.26785749749553,0.81961423
1.52,154.41445803650294,0.90384907
1.53,154.94958608786777,0.9276313
1.54,155.67902694601773,0.93800473
1.55,156.30119846176154,0.93873155
1.56,156.3290699973265,0.937203
1.57,156.60178921566012,0.9203832
1.58,156.90440145357903,0.898611
1.59,157.7186314845652,0.9123977
1.6,158.67683557833604,0.8952666
1.61,159.48515191058019,0.9140748
1.62,160.3252959820219,0.89510196
