time,frequency,confidence
2.33,157.78585359651635,0.7683469
2.69,159.23539836217248,0.7995284
2.7,159.9029684884428,0.90820575
2.71,159.46565264896117,0.9264007
2.72,159.34370226694833,0.93046236
2.73,159.85520209193473,0.93702906
2.74,160.59870549096075,0.893302
2.75,160.8814211292571,0.88940024
2.76,160.93454620589426,0.90049905
2.77,160.68697890623528,0.89094996
2.78,160.00798621897405,0.9212525
2.79,159.5589641656988,0.9206919
2.8,158.60277102646523,0.8915619
2.81,158.065169088813,0.9282389
2.82,157.72668588724295,0.9145894
2.83,158.04521154071017,0.9248617
2.84,158.1013364143355,0.9196791
2.85,157.5785392475762,0.91941845
2.86,156.7790931909666,0.8915481
2.87,155.19386167333747,0.8024249
2.97,166.11057857140344,0.8601955
2.98,166.32513748943467,0.89960337
2.99,166.67992828462005,0.92677087
3.0,167.1474582068984,0.93721896
3.01,167.26621462723588,0.9329997
3.02,166.8342500765052,0.9228814
3.03,166.08439947535925,0.9049098
3.04,165.43744384703527,0.9247512
3.05,164.53024689806176,0.91901696
3.06,163.67769771363186,0.9253187
3.07,162.49645521193983,0.8994557
3.08,161.3272975739238,0.8948009
3.09,160.26967270878603,0.89472306
3.1,159.92012210041145,0.9126927
3.11,159.5922175008242,0.9230434
3.12,159.58882526504004,0.92381054
3.13,159.76452568293433,0.9135566
3.14,159.61503592157416,0.923619
3.15,159.7808991908673,0.92309463
3.16,159.624514279118,0.92680043
3.17,159.7197728864521,0.9262183
3.18,160.02341586881215,0.9053499
3.19,160.40400329995802,0.88626325
3.2,160.98791225494466,0.88889
3.21,161.9376435707598,0.8922458
3.22,162.6246850980899,0.89154875
3.23,162.79329122014542,0.90533364
3.24,162.5282355833632,0.89456564
3.25,162.36379747929055,0.8783291
3.26,162.5152130953649,0.8882534
3.27,162.20064271077703,0.8542697
3.43,159.01864127396837,0.7870307
3.44,158.54292528149665,0.8969494
3.45,158.40972037157505,0.92182845
3.46,158.49353561527917,0.9060477
3.47,159.23041013257966,0.9085841
3.48,160.66447623819596,0.85890996
3.49,161.98029473631198,0.8533091
3.5,163.7313629194271,0.8940894
3.51,164.43492760678708,0.8388945
3.71,183.45072758412155,0.9035646
3.72,182.01599151113072,0.93391234
3.73,180.4648471971924,0.9137521
3.74,178.48226058350153,0.9145608
3.75,177.11462691580618,0.9267394
3.76,176.12254412047946,0.90005183
3.77,175.7094692437759,0.9026429
3.78,175.79925945016527,0.89605504
3.79,176.13998044173908,0.8885907
3.8,176.78644997112673,0.8955245
3.81,177.60750237203794,0.9149859
3.82,178.77874639165253,0.9014811
3.83,180.04592895277924,0.91596615
3.84,180.93888090599268,0.9168163
3.85,181.55840560243206,0.9347871
3.86,181.27204688255625,0.92912406
3.87,180.50232004796996,0.9099423
3.88,179.75936956766327,0.92205065
3.89,178.7136171321549,0.9125996
3.9,178.24368054549888,0.9021472
3.91,177.88129249929,0.88632023
3.92,178.05855959910724,0.80469364
4.1,150.51970755417148,0.77159524
4.11,150.21113105240167,0.8903261
